,title,tag,sentiment_score
0,Toy Story (1995),ToyStory,0.068
1,GoldenEye (1995),GoldenEye,0.16694
2,Four Rooms (1995),FourRooms,0.0
3,Get Shorty (1995),GetShorty,0.6280333333333333
4,Copycat (1995),Copycat,0.0185999999999999
5,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),ShanghaiTriad,0.0
6,Twelve Monkeys (1995),TwelveMonkeys,0.476
7,Babe (1995),Babe,0.2733
8,Dead Man Walking (1995),DeadManWalking,-0.2110199999999999
9,Richard III (1995),RichardIII,-0.0914599999999999
10,Seven (Se7en) (1995),Seven,0.17702
11,Mighty Aphrodite (1995),MightyAphrodite,0.0
12,"Postino, Il (1994)",PostinoIl,0.0
13,Mr. Holland's Opus (1995),Mr.Holland'sOpus,0.0
14,French Twist (Gazon maudit) (1995),FrenchTwist,0.1791
15,From Dusk Till Dawn (1996),FromDuskTillDawn,0.06544
16,Antonia's Line (1995),Antonia'sLine,0.0
17,Angels and Insects (1995),AngelsandInsects,0.0
18,Muppet Treasure Island (1996),MuppetTreasureIsland,0.2855
19,Braveheart (1995),Braveheart,0.17888
20,Taxi Driver (1976),TaxiDriver,0.02962
21,Rumble in the Bronx (1995),RumbleintheBronx,0.1906333333333333
22,Bad Boys (1995),BadBoys,0.15968
23,Apollo 13 (1995),Apollo13,0.06816
24,Batman Forever (1995),BatmanForever,0.5439
25,Belle de jour (1967),Belledejour,0.35076
26,Crimson Tide (1995),CrimsonTide,0.34082
27,Crumb (1994),Crumb,0.42954
28,Desperado (1995),Desperado,0.2882
29,Free Willy 2: The Adventure Home (1995),FreeWilly2:TheAdventureHome,0.0
30,Mad Love (1995),MadLove,0.43482
31,Nadja (1994),Nadja,0.1065
32,Strange Days (1995),StrangeDays,-0.0906
33,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",ToWongFooThanksforEverything!JulieNewmar,0.0
34,Billy Madison (1995),BillyMadison,0.35884
35,Clerks (1994),Clerks,0.31504
36,Disclosure (1994),Disclosure,-0.0652999999999999
37,Dolores Claiborne (1994),DoloresClaiborne,0.3015
38,Eat Drink Man Woman (1994),EatDrinkManWoman,0.0
39,Exotica (1994),Exotica,0.10644
40,Ed Wood (1994),EdWood,-0.11924
41,Hoop Dreams (1994),HoopDreams,0.65856
42,I.Q. (1994),I.Q.,0.16754
43,Star Wars (1977),StarWars,-0.26996
44,Legends of the Fall (1994),LegendsoftheFall,0.0797333333333333
45,Natural Born Killers (1994),NaturalBornKillers,0.36396
46,Outbreak (1995),Outbreak,-0.26398
47,Pulp Fiction (1994),PulpFiction,0.2171799999999999
48,Priest (1994),Priest,0.31172
49,Quiz Show (1994),QuizShow,0.18194
50,Three Colors: Red (1994),ThreeColors:Red,0.0
51,Three Colors: Blue (1993),ThreeColors:Blue,0.0
52,Three Colors: White (1994),ThreeColors:White,0.0
53,Stargate (1994),Stargate,0.45316
54,What's Eating Gilbert Grape (1993),What'sEatingGilbertGrape,0.0
55,While You Were Sleeping (1995),WhileYouWereSleeping,0.4503333333333333
56,Ace Ventura: Pet Detective (1994),AceVentura:PetDetective,-0.296
57,Forrest Gump (1994),ForrestGump,0.1538799999999999
58,Four Weddings and a Funeral (1994),FourWeddingsandaFuneral,0.252625
59,Maverick (1994),Maverick,0.3202
60,Faster Pussycat! Kill! Kill! (1965),FasterPussycat!Kill!Kill!,0.0
61,Brother Minister: The Assassination of Malcolm X (1994),BrotherMinister:TheAssassinationofMalcolmX,0.0
62,Carlito's Way (1993),Carlito'sWay,0.1093399999999999
63,Free Willy (1993),FreeWilly,-0.3025799999999999
64,Hot Shots! Part Deux (1993),HotShots!PartDeux,0.0
65,Jurassic Park (1993),JurassicPark,0.474725
66,Much Ado About Nothing (1993),MuchAdoAboutNothing,0.75256
67,Robert A. Heinlein's The Puppet Masters (1994),RobertA.Heinlein'sThePuppetMasters,0.0
68,Searching for Bobby Fischer (1993),SearchingforBobbyFischer,0.0
69,Sleepless in Seattle (1993),SleeplessinSeattle,0.431425
70,Blade Runner (1982),BladeRunner,0.5292600000000001
71,So I Married an Axe Murderer (1993),SoIMarriedanAxeMurderer,0.17908
72,True Romance (1993),TrueRomance,0.15524
73,Welcome to the Dollhouse (1995),WelcometotheDollhouse,0.6668
74,Home Alone (1990),HomeAlone,-0.01384
75,Aladdin (1992),Aladdin,0.0257399999999999
76,Terminator 2: Judgment Day (1991),Terminator2:JudgmentDay,0.0
77,Dances with Wolves (1990),DanceswithWolves,0.2202
78,Snow White and the Seven Dwarfs (1937),SnowWhiteandtheSevenDwarfs,0.1404999999999999
79,Fargo (1996),Fargo,0.36678
80,Heavy Metal (1981),HeavyMetal,0.08808
81,All Dogs Go to Heaven 2 (1996),AllDogsGotoHeaven2,0.0
82,Theodore Rex (1995),TheodoreRex,0.0
83,Sgt. Bilko (1996),Sgt.Bilko,0.0057
84,Diabolique (1996),Diabolique,0.164
85,Moll Flanders (1996),MollFlanders,0.4019
86,Kids in the Hall: Brain Candy (1996),KidsintheHall:BrainCandy,0.0
87,Mystery Science Theater 3000: The Movie (1996),MysteryScienceTheater3000:TheMovie,0.0
88,Operation Dumbo Drop (1995),OperationDumboDrop,0.0
89,Flipper (1996),Flipper,0.2154799999999999
90,Wallace & Gromit: The Best of Aardman Animation (1996),Wallace&Gromit:TheBestofAardmanAnimation,0.0
91,Cold Comfort Farm (1995),ColdComfortFarm,0.5719
92,Twister (1996),Twister,0.23922
93,Maya Lin: A Strong Clear Vision (1994),MayaLin:AStrongClearVision,0.0
94,Striptease (1996),Striptease,0.12452
95,Independence Day (ID4) (1996),IndependenceDay,0.413275
96,Lone Star (1996),LoneStar,0.27096
97,Phenomenon (1996),Phenomenon,0.20566
98,Supercop (1992),Supercop,0.23576
99,Bound (1996),Bound,0.30294
100,Kansas City (1996),KansasCity,-0.0420399999999999
101,Breakfast at Tiffany's (1961),BreakfastatTiffany's,0.1806
102,Gone with the Wind (1939),GonewiththeWind,0.08446
103,Citizen Kane (1941),CitizenKane,0.0969
104,2001: A Space Odyssey (1968),2001:ASpaceOdyssey,0.0
105,Mr. Smith Goes to Washington (1939),Mr.SmithGoestoWashington,0.0
106,Big Night (1996),BigNight,0.30568
107,D3: The Mighty Ducks (1996),D3:TheMightyDucks,0.0
108,Homeward Bound: The Incredible Journey (1993),HomewardBound:TheIncredibleJourney,0.0
109,"20,000 Leagues Under the Sea (1954)",20000LeaguesUndertheSea,0.0
110,Bedknobs and Broomsticks (1971),BedknobsandBroomsticks,0.5272
111,Die Hard (1988),DieHard,0.0442999999999999
112,Unhook the Stars (1996),UnhooktheStars,0.0
113,Jude (1996),Jude,0.14928
114,Swingers (1996),Swingers,0.26338
115,Willy Wonka and the Chocolate Factory (1971),WillyWonkaandtheChocolateFactory,0.3961
116,Sleeper (1973),Sleeper,0.2434
117,Monty Python's Life of Brian (1979),MontyPython'sLifeofBrian,0.0
118,Dirty Dancing (1987),DirtyDancing,0.2758
119,Reservoir Dogs (1992),ReservoirDogs,0.25298
120,Platoon (1986),Platoon,-0.3251
121,Weekend at Bernie's (1989),WeekendatBernie's,0.6808
122,Basic Instinct (1992),BasicInstinct,0.22016
123,Glengarry Glen Ross (1992),GlengarryGlenRoss,0.32985
124,Top Gun (1986),TopGun,0.578325
125,On Golden Pond (1981),OnGoldenPond,0.0
126,Jean de Florette (1986),JeandeFlorette,0.0
127,Manon of the Spring (Manon des sources) (1986),ManonoftheSpring,0.0
128,Private Benjamin (1980),PrivateBenjamin,0.3863499999999999
129,Monty Python and the Holy Grail (1974),MontyPythonandtheHolyGrail,-0.0361
130,Cinema Paradiso (1988),CinemaParadiso,0.38608
131,Delicatessen (1991),Delicatessen,0.50706
132,Raiders of the Lost Ark (1981),RaidersoftheLostArk,0.2397999999999999
133,Brazil (1985),Brazil,0.2447
134,Aliens (1986),Aliens,0.0596199999999999
135,12 Angry Men (1957),12AngryMen,0.0401599999999999
136,Apocalypse Now (1979),ApocalypseNow,0.18202
137,Return of the Jedi (1983),ReturnoftheJedi,0.33136
138,GoodFellas (1990),GoodFellas,0.09026
139,Alien (1979),Alien,0.047
140,Army of Darkness (1993),ArmyofDarkness,0.08358
141,Psycho (1960),Psycho,0.39682
142,Full Metal Jacket (1987),FullMetalJacket,0.138
143,Henry V (1989),HenryV,0.46094
144,Amadeus (1984),Amadeus,0.15072
145,Raging Bull (1980),RagingBull,0.27745
146,Dead Poets Society (1989),DeadPoetsSociety,-0.04076
147,Nikita (La Femme Nikita) (1990),Nikita,0.41516
148,Evil Dead II (1987),EvilDeadII,-0.2426
149,Groundhog Day (1993),GroundhogDay,0.2376599999999999
150,Unforgiven (1992),Unforgiven,0.36274
151,Back to the Future (1985),BacktotheFuture,0.25996
152,Patton (1970),Patton,0.03126
153,Akira (1988),Akira,0.39972
154,Cyrano de Bergerac (1990),CyranodeBergerac,0.27714
155,Young Frankenstein (1974),YoungFrankenstein,0.06052
156,This Is Spinal Tap (1984),ThisIsSpinalTap,0.03082
157,Indiana Jones and the Last Crusade (1989),IndianaJonesandtheLastCrusade,0.3825
158,M*A*S*H (1970),M*A*S*H,0.30054
159,Pink Floyd - The Wall (1982),PinkFloyd-TheWall,0.3928399999999999
160,Field of Dreams (1989),FieldofDreams,0.17476
161,When Harry Met Sally... (1989),WhenHarryMetSally...,0.32515
162,Bram Stoker's Dracula (1992),BramStoker'sDracula,0.0
163,Cape Fear (1991),CapeFear,0.13298
164,Breaking the Waves (1996),BreakingtheWaves,0.0
165,Star Trek: First Contact (1996),StarTrek:FirstContact,0.27344
166,Sling Blade (1996),SlingBlade,0.2013599999999999
167,Ridicule (1996),Ridicule,-0.45766
